,Nico1:epd1,Nico1:epd1,Nico1:epd1,Nico1:epd2,Nico1:epd2,Nico1:epd2,Nico1:bd2,Nico1:bd2,Nico1:bd2,Nico1:abd2,Nico1:abd2,Nico1:abd2,Nico1:abg1,Nico1:abg1,Nico1:abg1,Nico1:abg2,Nico1:abg2,Nico1:abg2
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,529.098,972.78,1507.33,144.311,787.576,1500.84,573.275,1007.77,1178.54,352.54,1112.06,1023.32,97.539,798.087,1169.13,,,
2,527.486,974.043,1507.15,145.144,789.58,1500.57,567.77,1010.41,1178.02,338.958,1101.91,1026.39,99.7181,804.519,1169.34,175.084,1025.27,1020.57
3,525.752,975.19,1506.97,145.791,790.93,1500.59,562.15,1013.69,1177.82,325.751,1090.98,1029.93,102.011,811.357,1169.79,190.938,1030.28,1025.07
4,523.852,974.707,1506.16,146.356,791.98,1500.72,556.158,1016.79,1177.62,314.334,1082.52,1034.94,104.144,817.909,1170.45,204.47,1033.86,1029.33
5,522.568,975.767,1506.22,146.834,792.955,1500.97,550.296,1018.69,1177.28,306.045,1073.06,1039.36,106.881,823.417,1171.54,218.538,1036.4,1033.45
6,521.538,977.016,1506.68,146.898,793.893,1501.86,545.998,1018.63,1177.55,308.81,1072.31,1041.79,108.969,826.772,1173.43,215.999,1037.19,1037.18
7,520.844,977.75,1507.58,147.198,794.805,1503.18,548.252,1016.52,1178.19,311.42,1077.72,1042.37,110.042,823.639,1172.24,211.016,1039.43,1038.18
8,520.437,978.141,1508.67,147.464,795.284,1504.07,551.129,1014.22,1179.31,314.051,1081.29,1043.31,109.626,818.738,1174.16,207.412,1038.12,1038.25
9,521.339,980.135,1510.21,147.503,795.223,1504.54,553.561,1012.36,1180.17,316.406,1084.33,1041.63,108.6,816.44,1174.54,201.554,1039.04,1038.91
10,521.652,979.015,1510.09,147.267,794.718,1504.61,557.13,1012.15,1180.98,320.281,1090.03,1040.92,107.313,813.561,1174.94,194.926,1039.74,1038.56
11,522.645,978.977,1509.83,146.943,794.053,1504.44,559.621,1010.53,1180.27,324.716,1095.05,1040.58,106.196,811.35,1174.24,187.759,1039.69,1038.16
12,523.631,978.954,1509.51,146.674,793.464,1504.05,562.129,1011.12,1180.06,329.503,1098.97,1039.99,104.034,808.822,1173.55,180.899,1038.87,1037.66
13,524.617,978.581,1509.22,146.353,793.378,1503.34,565.008,1011.19,1179.97,334.501,1103.82,1039.58,101.282,806.054,1172.82,94.7012,934.119,1078.62
14,525.309,976.89,1508.6,145.992,792.495,1503.23,568.617,1013.22,1181.43,339.836,1108.27,1038.92,98.171,803.121,1172.71,63.1128,900.555,1090.39
15,526.008,976.202,1508.85,145.673,791.992,1503.08,571.456,1012.72,1182.23,345.271,1112.8,1037.96,95.0204,799.321,1174.12,107.567,966.105,1061.81
16,527.243,976.202,1509.79,145.5,791.556,1503.11,574.729,1013.39,1183.49,350.816,1117.35,1037.34,92.3605,796.997,1175.41,151.479,1030.7,1033.34
17,527.636,975.41,1510.26,145.492,791.056,1503.33,578.124,1014.41,1184.83,356.432,1121.79,1036.66,89.5778,794.807,1176.8,143.895,1027.84,1031.75
18,527.541,974.462,1510.37,145.48,790.669,1503.64,581.619,1016.68,1186.37,361.677,1125.01,1035.76,86.878,793.032,1177.65,136.397,1024.92,1029.69
19,527.519,974.423,1510.67,145.604,790.467,1503.83,584.264,1016.12,1186.91,366.978,1128.39,1034.82,83.8685,790.921,1178.27,129.62,1022.32,1027.27
20,527.396,974.655,1510.98,145.618,789.914,1504.34,587.635,1016.95,1188.1,372.601,1132.28,1034.32,80.7958,788.138,1179.35,122.741,1019.2,1025.38
21,527.412,975.224,1511.38,145.46,789.339,1504.92,590.559,1017.83,1189.19,377.969,1135.73,1033.58,78.1229,785.934,1180.36,116.059,1015.88,1023.49
22,527.31,975.286,1511.56,145.489,789.119,1505.15,593.232,1018.3,1190.2,383.272,1139.04,1033.11,75.6627,784.189,1181.49,109.821,1013.05,1021.35
23,527.368,975.181,1511.69,145.443,788.903,1505.32,596.4,1018.89,1191.47,388.411,1142.09,1032.6,72.9075,781.97,1182.7,103.725,1009.99,1019.33
24,527.532,974.985,1511.8,145.317,788.714,1505.36,598.637,1019.32,1192.56,393.415,1145.09,1032.2,70.2523,779.966,1183.25,98.0879,1007.02,1017.91
25,527.91,974.693,1511.89,145.125,788.455,1505.32,601.641,1019.9,1193.54,398.006,1147.39,1031.59,67.815,777.897,1183.63,92.4918,1003.71,1016.52
26,528.297,974.302,1511.91,144.933,788.142,1505.29,604.326,1019.72,1194.12,402.813,1150.21,1031.09,65.5561,774.967,1184.68,87.3274,1001.02,1015.22
27,528.695,973.943,1511.91,144.657,787.822,1505.27,606.919,1020.28,1195.13,407.322,1152.51,1030.76,63.4638,772.77,1185.2,82.3658,997.658,1014.27
28,529.006,973.734,1511.96,144.361,787.479,1505.23,609.583,1020.07,1195.94,411.589,1154.09,1030.14,61.8621,770.3,1186.21,77.8491,994.513,1013.24
29,529.311,973.42,1511.93,144.068,787.165,1505.27,612.249,1019.94,1196.79,415.735,1155.58,1029.67,60.0149,768.204,1186.42,73.67,991.479,1012.36
30,529.619,973.179,1511.89,144.054,787.141,1505.15,614.338,1019.7,1197.51,419.714,1156.93,1029.37,58.8097,765.471,1187.23,70.0738,988.253,1011.68
31,529.867,972.934,1511.8,143.806,786.93,1505.35,617.138,1019.49,1198.38,423.515,1157.91,1029.02,57.5782,762.696,1187.95,66.4375,984.967,1010.92
32,530.069,972.584,1511.63,143.434,786.424,1505.97,619.285,1018.59,1198.8,427.355,1159.03,1028.87,56.2891,759.542,1189.06,63.2759,981.828,1010.2
33,530.244,972.151,1511.38,143.223,786.227,1506.29,621.523,1018.42,1199.54,431.336,1160.5,1028.93,55.6437,756.912,1189.45,60.5569,978.818,1009.63
34,530.432,971.848,1511.11,142.948,785.968,1506.57,623.749,1017.76,1200.07,434.843,1161.28,1028.43,55.21,754.774,1189.77,57.8678,975.717,1008.6
35,530.622,971.452,1510.82,142.625,785.82,1506.75,625.529,1016.82,1200.44,438.045,1161.38,1027.75,54.9008,751.668,1190.38,55.7424,972.868,1007.77
36,530.553,971.019,1510.39,142.244,785.711,1506.83,627.608,1016.12,1200.78,441.32,1162.22,1027.16,54.8317,749.393,1190.37,53.7433,969.872,1007.25
37,530.676,970.951,1510.14,141.915,785.477,1506.82,629.36,1015.51,1200.98,444.499,1162.88,1026.7,54.796,747.748,1190.1,51.6592,967.105,1005.88
38,530.827,970.769,1509.82,141.66,785.231,1506.81,631.164,1014.58,1201.15,447.34,1163.09,1025.95,55.4318,745.233,1190.25,50.4884,964.574,1005.19
39,531.117,970.765,1509.57,141.421,785.052,1506.73,632.476,1013.63,1201.21,450.372,1163.87,1025.57,55.8361,743.053,1190.19,48.8385,961.76,1003.91
40,531.251,970.754,1509.29,141.17,784.892,1506.58,633.716,1012.21,1201.03,452.588,1162.94,1024.4,56.0007,742.011,1189.07,48.2423,959.621,1003.2
41,531.152,970.284,1508.79,140.953,784.863,1506.37,634.777,1011.23,1201.03,455.416,1163.47,1024.12,56.886,739.521,1189.43,47.6112,956.988,1002.09
42,531.18,970.22,1508.52,140.858,784.733,1506.14,635.776,1010.24,1201.08,457.264,1162.34,1022.94,57.4887,738.13,1188.84,47.1065,954.522,1001.2
43,531.17,970.141,1508.32,140.724,784.757,1505.88,636.817,1010.35,1201.76,459.889,1162.83,1022.47,58.2435,736.664,1188.67,46.9222,952.622,999.886
44,531.123,970.174,1508.15,140.734,784.568,1505.33,637.618,1009.27,1201.76,461.627,1161.66,1021.27,59.5903,735.376,1187.87,47.4414,950.87,998.911
45,531.281,970.513,1508.23,140.61,784.758,1504.96,638.224,1008.24,1201.92,463.651,1161.71,1020.44,60.1943,734.029,1187.95,47.7877,948.986,997.485
46,531.224,970.464,1508.16,140.551,784.713,1505.06,638.782,1006.91,1201.93,465.477,1161.54,1019.68,61.2057,733.052,1187.51,46.5235,945.927,995.922
47,531.426,970.96,1508.24,140.513,784.796,1504.8,639.362,1005.72,1202.06,466.988,1160.66,1018.41,62.2926,731.705,1187.36,47.7371,944.884,994.897
48,531.426,970.828,1508.13,140.479,784.814,1504.55,639.74,1004.56,1202.12,468.518,1160.36,1017.62,63.3504,730.813,1186.98,50.1019,944.024,993.733
49,531.441,970.675,1508.08,140.431,784.872,1504.36,640.041,1003.54,1202.14,469.998,1160.07,1017.04,64.2997,730.33,1186.44,51.2972,942.675,992.814
50,531.463,970.607,1507.99,140.46,784.831,1504.23,640.244,1001.3,1201.54,471.106,1159.25,1016.32,65.3171,730.196,1185.34,52.8398,941.47,991.695
51,531.486,970.461,1507.84,140.469,784.848,1504.08,640.529,1000.18,1201.43,471.98,1158.21,1015.46,66.3869,728.788,1185.56,54.6296,940.674,990.832
52,531.5,970.343,1507.73,140.498,784.754,1504.02,640.807,998.887,1201.24,472.977,1157.58,1014.94,67.3721,728.619,1184.91,56.2469,939.532,990
53,531.326,969.93,1507.5,140.483,784.753,1503.88,640.991,997.623,1201.03,473.979,1156.83,1014.33,68.5571,728.254,1184.68,58.4233,939.005,988.626
54,531.383,969.921,1507.34,140.511,784.667,1503.82,640.924,996.142,1200.73,474.937,1156.57,1013.99,69.7822,727.652,1184.5,60.0456,937.884,988.315
55,531.327,969.999,1507.07,140.538,784.659,1503.74,640.857,994.573,1200.34,475.822,1156.19,1013.45,70.8861,727.39,1184.1,62.0551,937.32,987.234
56,531.377,969.978,1506.93,140.59,784.611,1503.58,640.775,992.912,1199.89,476.48,1155.56,1012.89,71.9397,727.262,1183.62,64.3559,937.235,986.082
57,531.439,969.915,1506.78,140.623,784.62,1503.51,640.81,991.634,1199.61,477.009,1154.61,1012.14,73.1281,726.99,1183.27,66.1406,936.637,985.903
58,531.502,969.874,1506.58,140.643,784.588,1503.42,640.842,990.48,1199.33,477.48,1153.67,1011.39,74.4248,726.629,1182.95,67.6926,936.084,984.592
59,531.563,969.827,1506.37,140.711,784.521,1503.4,640.866,989.421,1199.07,477.869,1152.72,1010.56,75.6715,726.446,1182.67,70.1063,935.78,984.287
60,531.606,969.666,1506.22,140.749,784.496,1503.32,640.642,988.542,1199.05,478.255,1152.22,1010.08,76.7925,726.382,1182.4,73.6247,936.865,983.817
61,531.696,969.617,1506.03,140.767,784.495,1503.25,640.451,987.128,1198.67,478.545,1151.26,1009.36,77.587,726.494,1181.74,75.8349,937.053,983.407
62,531.849,969.415,1505.93,140.812,784.46,1503.19,640.246,985.674,1198.26,478.841,1150.41,1008.72,78.9138,726.279,1181.75,78.4842,937.176,983.082
63,531.98,969.314,1505.81,140.845,784.463,1503.12,640.155,984.453,1197.88,479.051,1149.69,1008.32,80.1087,726.276,1181.43,81.2453,937.342,982.82
64,532.043,969.272,1505.65,140.881,784.47,1503.04,640.045,983.503,1197.53,479.257,1149.1,1007.8,80.9614,726.529,1181,83.7833,937.43,982.531
65,532.174,969.144,1505.55,140.938,784.477,1503.03,639.908,982.588,1197.28,479.336,1148.24,1007.27,81.6494,726.737,1180.5,86.6823,937.766,982.025
66,532.235,969.004,1505.43,140.95,784.557,1502.96,639.622,981.515,1196.99,479.329,1147.54,1006.8,82.3639,727.089,1179.84,89.2775,938.178,981.721
67,532.351,968.794,1505.28,140.954,784.672,1502.89,639.42,980.501,1196.73,479.152,1146.69,1006.21,83.9769,728.136,1178.81,92.0822,938.071,982.114
68,532.499,968.551,1505.15,140.966,784.783,1502.81,639.245,979.419,1196.4,479.032,1145.94,1005.64,84.3421,727.99,1179.01,94.0611,937.941,981.678
69,532.652,968.267,1505.05,140.938,784.915,1502.68,639.089,978.427,1196.1,478.887,1145.05,1005.07,85.0832,728.325,1178.54,97.7608,938.854,981.616
70,532.756,968.097,1504.96,140.933,785.047,1502.56,639.068,977.632,1195.89,478.652,1144.34,1004.64,85.9058,728.601,1178.19,99.5028,939.71,981.207
71,532.875,967.855,1504.87,140.931,785.203,1502.44,639.028,977.004,1195.75,478.36,1143.51,1004.12,86.9841,728.798,1177.97,102.703,940.323,980.853
72,532.752,967.32,1504.65,140.969,785.271,1502.37,639.016,976.354,1195.61,478.085,1142.83,1003.72,88.2429,729.936,1176.88,104.416,941.044,980.426
73,533.09,967.338,1504.77,141.008,785.361,1502.26,638.955,975.828,1195.53,477.732,1142.19,1003.35,88.6026,729.279,1177.35,107.08,941.877,980.104
74,533.199,967.205,1504.74,141.08,785.536,1502.13,638.924,975.3,1195.42,477.154,1140.94,1002.79,89.4332,729.629,1177.12,109.416,942.681,980.335
75,533.089,966.837,1504.6,141.145,785.662,1502.04,638.936,974.046,1194.9,476.485,1139.65,1002.23,90.128,730.187,1176.74,111.49,943.228,980.218
76,533.206,966.739,1504.58,141.203,785.755,1502.07,638.745,974.243,1195.21,475.828,1138.17,1001.54,90.7255,731.486,1175.64,114.118,944.112,980.317
77,533.347,966.582,1504.55,141.318,785.852,1501.96,638.665,973.767,1195.1,475.303,1137.09,1001.08,91.1655,731.84,1175.49,115.918,944.669,980.28
78,533.423,966.44,1504.5,141.43,786,1501.76,638.602,973.293,1194.98,474.834,1136.31,1000.8,91.8406,732.064,1175.66,118.509,945.809,980.262
79,533.56,966.229,1504.48,141.562,786.066,1501.61,638.58,972.844,1194.86,474.387,1135.56,1000.62,92.3364,732.733,1175.39,119.744,946.015,980.383
80,533.72,965.956,1504.45,141.706,786.076,1501.54,638.555,972.366,1194.73,473.812,1134.49,1000.38,92.8639,733.434,1175.18,122.606,947.417,980.645
81,533.898,965.756,1504.41,141.728,786.241,1501.43,638.547,971.908,1194.6,472.997,1133.07,999.833,93.2691,733.879,1175.13,123.826,947.841,980.32
82,534.207,965.823,1504.54,141.825,786.322,1501.33,638.598,971.438,1194.51,472.275,1132.05,999.662,93.6811,734.262,1175.01,125.829,948.957,980.859
